data,nome,municipio,cod_filial
01/01/2024,ANO NOVO,ARACAJU,170
21/04/2024,TIRADENTES,ARACAJU,170
01/05/2024,DIA DO TRABALHO,ARACAJU,170
07/09/2024,INDEPENDENCIA DO BRASIL,ARACAJU,170
12/10/2024,NOSSA SENHORA APARECIDA,ARACAJU,170
02/11/2024,FINADOS,ARACAJU,170
15/11/2024,PROCLAMAÇÃO DA REPUBLICA,ARACAJU,170
20/11/2024,CONSCIENCIA NEGRA,ARACAJU,170
25/12/2024,NATAL,ARACAJU,170
01/01/2024,ANO NOVO,SÃO LUIS,116
21/04/2024,TIRADENTES,SÃO LUIS,116
01/05/2024,DIA DO TRABALHO,SÃO LUIS,116
07/09/2024,INDEPENDENCIA DO BRASIL,SÃO LUIS,116
12/10/2024,NOSSA SENHORA APARECIDA,SÃO LUIS,116
02/11/2024,FINADOS,SÃO LUIS,116
15/11/2024,PROCLAMAÇÃO DA REPUBLICA,SÃO LUIS,116
20/11/2024,CONSCIENCIA NEGRA,SÃO LUIS,116
25/12/2024,NATAL,SÃO LUIS,116
01/01/2024,ANO NOVO,BELO HORIZONTE,6
21/04/2024,TIRADENTES,BELO HORIZONTE,6
01/05/2024,DIA DO TRABALHO,BELO HORIZONTE,6
07/09/2024,INDEPENDENCIA DO BRASIL,BELO HORIZONTE,6
12/10/2024,NOSSA SENHORA APARECIDA,BELO HORIZONTE,6
02/11/2024,FINADOS,BELO HORIZONTE,6
15/11/2024,PROCLAMAÇÃO DA REPUBLICA,BELO HORIZONTE,6
20/11/2024,CONSCIENCIA NEGRA,BELO HORIZONTE,6
25/12/2024,NATAL,BELO HORIZONTE,6
01/01/2024,ANO NOVO,FLORIANÓPOLIS,75
21/04/2024,TIRADENTES,FLORIANÓPOLIS,75
01/05/2024,DIA DO TRABALHO,FLORIANÓPOLIS,75
07/09/2024,INDEPENDENCIA DO BRASIL,FLORIANÓPOLIS,75
12/10/2024,NOSSA SENHORA APARECIDA,FLORIANÓPOLIS,75
02/11/2024,FINADOS,FLORIANÓPOLIS,75
15/11/2024,PROCLAMAÇÃO DA REPUBLICA,FLORIANÓPOLIS,75
20/11/2024,CONSCIENCIA NEGRA,FLORIANÓPOLIS,75
25/12/2024,NATAL,FLORIANÓPOLIS,75
13/02/2024,CARNAVAL,ARACAJU,170
29/03/2024,SEXTA FEIRA SANTA,ARACAJU,170
