CODIGO FILIAL,dia_da_semana,TIPO VEÍCULO,Category,weight
2,Terça,FORTE,till 11,0.5714285714285714
2,Terça,FORTE,till 12,0.2807017543859649
2,Terça,FORTE,till 13,0.44999999999999996
2,Terça,FORTE,till 14,1.0
17,Terça,FORTE,till 8,1.0
30,Sexta,FORTE,till 8,3.0
30,Sexta,FORTE,till 9,1.0
30,Sexta,FORTE,till 11,0.4285714285714285
46,Terça,FORTE,till 8,0.4285714285714285
46,Terça,FORTE,till 9,0.4
63,Terça,FORTE,till 8,0.17647058823529416
63,Terça,FORTE,till 9,1.28
91,Terça,FORTE,till 8,0.17391304347826086
91,Terça,FORTE,till 9,0.5
94,Terça,FORTE,till 8,0.2857142857142857
94,Terça,FORTE,till 9,0.6
98,Terça,FORTE,till 8,1.3333333333333333
116,Domingo,FORTE,till 8,1.0
116,Domingo,FORTE,till 12,1.0
120,Terça,FORTE,till 8,0.8888888888888888
120,Terça,FORTE,till 11,1.5
130,Sexta,FORTE,till 8,0.4285714285714285
164,Segunda,FORTE,till 8,0.5
164,Segunda,FORTE,till 9,1.0
164,Segunda,FORTE,till 11,1.5
164,Segunda,FORTE,till 12,0.6666666666666667
